Student_ID,Name,Age,Gender,Level_of_Higher_Education,Faculty,Course,Languages,Religion,Interests
566,Лазарев Тимофей Юрьевич,25,М,Бакалавриат,Факультет урбанистики,3,Русский,Православие,"Настольный теннис, Баскетбол, Рисование"
567,Киселева Наталья Аркадьевна,28,Ж,Специалитет,Факультет социальных наук,4,Русский,Атеизм,"Футбол, Программирование, Настольные игры"
568,Осипова Клара Сергеевна,23,Ж,Магистратура,Факультет урбанистики,1,Русский,Атеизм,"Настольные игры, Баскетбол, Рисование"
569,Трофимова Лариса Вячеславовна,21,Ж,Магистратура,Факультет бизнеса и менеджмента,2,Английский,Православие,Футбол
570,Воронова Диана Станиславовна,30,Ж,Специалитет,Факультет права,4,Русский,Православие,Программирование
571,Жуков Ярослав Анатольевич,27,М,Аспирантура,Факультет математики,2,Русский,Ислам,Настольные игры
572,Поляков Станислав Тихонович,30,М,Магистратура,Факультет бизнеса и менеджмента,1,Русский,Ислам,"Футбол, Настольный теннис"
573,Кожевникова Эвелина Вячеславовна,25,Ж,Специалитет,Факультет компьютерных наук,4,"Русский, Английский",Ислам,"Баскетбол, Программирование, Футбол"
574,Панкратова Таисия Юрьевна,20,Ж,Магистратура,Факультет математики,1,Русский,Атеизм,Рисование
575,Виноградов Александр Павлович,23,М,Бакалавриат,Факультет социальных наук,3,Английский,Православие,"Настольные игры, Баскетбол, Футбол"
576,Прохорова Лея Романовна,19,Ж,Магистратура,Факультет гуманитарных наук,1,"Русский, Английский",Ислам,"Баскетбол, Настольные игры"
577,Овчинникова Дарина Саввична,20,Ж,Аспирантура,Факультет компьютерных наук,1,Английский,Ислам,"Рисование, Баскетбол"
578,Дьяков Модест Денисович,26,М,Магистратура,Факультет бизнеса и менеджмента,2,Английский,Атеизм,Программирование
579,Белякова Амелия Мироновна,29,Ж,Магистратура,Факультет урбанистики,1,Русский,Ислам,"Музыка, Футбол, Шахматы"
580,Тарасов Викентий Кондратьевич,20,М,Специалитет,Факультет математики,1,Русский,Ислам,"Футбол, Шахматы, Рисование"
581,Захаров Олег Владимирович,22,М,Магистратура,Факультет бизнеса и менеджмента,1,Русский,Православие,Настольные игры
582,Киселёв Ярослав Анатольевич,18,М,Аспирантура,Факультет мировой экономики и мировой политики,1,Русский,Православие,"Волейбол, Футбол, Программирование"
583,Семенова Ника Родионовна,18,Ж,Бакалавриат,Факультет математики,1,"Русский, Английский",Православие,Настольные игры
584,Гордеев Виктор Вячеславович,30,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",2,"Русский, Английский",Ислам,Волейбол
585,Ковалева Яна Тимофеевна,27,Ж,Аспирантура,Факультет математики,1,"Русский, Английский",Атеизм,"Программирование, Настольный теннис, Рисование"
586,Трофимов Альберт Никитич,20,М,Магистратура,Факультет социальных наук,2,Русский,Атеизм,"Футбол, Шахматы"
587,Смирнова Ольга Мироновна,24,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,Английский,Атеизм,"Музыка, Футбол"
588,Князева Алиса Варламовна,19,Ж,Бакалавриат,Факультет экономических наук,2,"Русский, Английский",Ислам,Музыка
589,Макаров Альберт Вячеславович,22,М,Аспирантура,Факультет бизнеса и менеджмента,2,Английский,Православие,"Шахматы, Футбол, Музыка"
590,Голубева Марта Леонидовна,19,Ж,Бакалавриат,Факультет гуманитарных наук,1,Английский,Атеизм,"Баскетбол, Настольные игры"
591,Игнатьев Родион Григорьевич,24,М,Аспирантура,Факультет социальных наук,3,Русский,Православие,"Программирование, Музыка, Футбол"
592,Новикова Галина Адамовна,28,Ж,Аспирантура,Факультет права,3,"Русский, Английский",Православие,Настольные игры
593,Орлова Зинаида Артемовна,21,Ж,Бакалавриат,Факультет математики,2,"Русский, Английский",Атеизм,"Настольные игры, Футбол"
594,Богданов Михаил Леонтьевич,27,М,Бакалавриат,Факультет социальных наук,4,"Русский, Английский",Ислам,Волейбол
595,Сидоров Арсений Кондратьевич,20,М,Специалитет,Факультет урбанистики,2,"Русский, Английский",Ислам,"Настольный теннис, Волейбол, Рисование"
596,Кондратьев Дмитрий Артемович,24,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,Русский,Атеизм,"Шахматы, Настольные игры"
597,Шубина Зоя Анатольевна,28,Ж,Специалитет,Факультет экономических наук,3,"Русский, Английский",Ислам,Баскетбол
598,Кириллова Ангелина Михайловна,26,Ж,Специалитет,Факультет урбанистики,1,"Русский, Английский",Ислам,Шахматы
599,Романов Борис Саввич,18,М,Аспирантура,Факультет мировой экономики и мировой политики,2,"Русский, Английский",Православие,Волейбол
600,Михайлов Юрий Станиславович,21,М,Магистратура,Факультет экономических наук,1,Английский,Ислам,"Рисование, Программирование"
601,Гордеев Тимофей Захарович,26,М,Магистратура,Факультет экономических наук,1,"Русский, Английский",Православие,"Баскетбол, Программирование, Настольный теннис"
602,Сергеев Юрий Леонидович,19,М,Бакалавриат,Факультет компьютерных наук,2,Английский,Православие,"Волейбол, Шахматы"
603,Мухин Денис Филиппович,25,М,Аспирантура,Факультет урбанистики,2,Русский,Ислам,"Баскетбол, Музыка, Настольный теннис"
604,Шаров Август Платонович,23,М,Магистратура,Факультет компьютерных наук,1,"Русский, Английский",Атеизм,"Футбол, Программирование, Настольный теннис"
605,Макарова Людмила Саввична,21,Ж,Аспирантура,Факультет социальных наук,2,Русский,Буддизм,Волейбол
606,Зуев Никита Александрович,29,М,Специалитет,Факультет экономических наук,1,Русский,Ислам,Настольный теннис
607,Шилова Илона Романовна,30,Ж,Специалитет,"Факультет коммуникаций, медиа и дизайна",3,Русский,Православие,"Музыка, Настольный теннис, Настольные игры"
608,Воронов Петр Анатольевич,20,М,Магистратура,Факультет социальных наук,2,"Русский, Английский",Ислам,Баскетбол
609,Петрова Аделина Данииловна,20,Ж,Магистратура,Факультет гуманитарных наук,1,Английский,Ислам,"Настольный теннис, Настольные игры, Волейбол"
610,Фёдоров Максим Валерьевич,20,М,Магистратура,Факультет компьютерных наук,2,Русский,Атеизм,"Программирование, Музыка"
611,Тимофеев Валерий Еремеевич,30,М,Магистратура,Факультет гуманитарных наук,1,"Русский, Английский",Православие,"Баскетбол, Настольный теннис"
612,Дроздов Матвей Георгиевич,27,М,Бакалавриат,Факультет мировой экономики и мировой политики,2,Английский,Православие,Футбол
613,Ковалёв Давид Ратмирович,27,М,Специалитет,Факультет мировой экономики и мировой политики,3,Английский,Православие,"Волейбол, Программирование, Баскетбол"
614,Николаев Варлам Николаевич,18,М,Специалитет,Факультет математики,2,"Китайский, Английский",Православие,Музыка
615,Воронова Василиса Игнатьевна,23,Ж,Бакалавриат,Факультет мировой экономики и мировой политики,3,Русский,Ислам,Музыка
616,Васильева Венера Евграфовна,24,Ж,Аспирантура,Факультет гуманитарных наук,1,"Русский, Английский",Атеизм,"Шахматы, Футбол, Программирование"
617,Жукова Тамара Эдуардовна,25,Ж,Магистратура,Факультет бизнеса и менеджмента,2,"Китайский, Английский",Ислам,"Настольный теннис, Баскетбол, Шахматы"
618,Соколов Геннадий Федорович,27,М,Магистратура,Факультет права,2,Русский,Православие,Музыка
619,Гаврилова Клара Станиславовна,19,Ж,Магистратура,Факультет математики,1,Русский,Ислам,"Шахматы, Баскетбол, Рисование"
620,Чернышева Мария Платоновна,30,Ж,Бакалавриат,Факультет математики,4,Русский,Атеизм,Рисование
621,Воронов Тимофей Александрович,28,М,Аспирантура,Факультет социальных наук,3,"Русский, Английский",Православие,"Настольные игры, Баскетбол, Настольный теннис"
622,Лазарева Маргарита Георгиевна,29,Ж,Аспирантура,Факультет права,1,Английский,Атеизм,"Волейбол, Настольный теннис"
623,Федотова Алина Аркадьевна,18,Ж,Бакалавриат,Факультет мировой экономики и мировой политики,1,"Русский, Английский",Ислам,"Настольные игры, Футбол, Волейбол"
624,Крылова Зинаида Николаевна,28,Ж,Бакалавриат,Факультет мировой экономики и мировой политики,4,Русский,Православие,"Футбол, Программирование, Настольный теннис"
625,Григорьева Венера Еремеевна,24,Ж,Бакалавриат,Факультет социальных наук,2,Русский,Православие,"Настольные игры, Музыка"
626,Александров Демьян Арсеньевич,22,М,Бакалавриат,Факультет мировой экономики и мировой политики,4,Русский,Атеизм,"Волейбол, Программирование"
627,Киселёв Артур Анатольевич,20,М,Бакалавриат,Факультет гуманитарных наук,1,Русский,Православие,"Волейбол, Настольные игры, Шахматы"
628,Виноградов Елисей Прохорович,29,М,Бакалавриат,Факультет бизнеса и менеджмента,4,"Русский, Английский",Православие,Программирование
629,Зуев Август Дмитриевич,19,М,Бакалавриат,Факультет урбанистики,2,"Русский, Английский",Ислам,Программирование
630,Ершов Аркадий Еремеевич,29,М,Аспирантура,Факультет бизнеса и менеджмента,2,Русский,Атеизм,"Музыка, Рисование, Настольные игры"
631,Чернова Маргарита Юрьевна,23,Ж,Магистратура,Факультет математики,1,"Русский, Английский",Атеизм,Рисование
632,Миронов Юрий Юлианович,21,М,Магистратура,Факультет компьютерных наук,2,"Китайский, Английский",Православие,Рисование
633,Иванов Василий Борисович,20,М,Специалитет,Факультет бизнеса и менеджмента,3,"Русский, Английский",Православие,Футбол
634,Ершов Василий Кондратьевич,26,М,Аспирантура,Факультет урбанистики,2,Английский,Атеизм,"Футбол, Волейбол, Программирование"
635,Ушаков Григорий Дмитриевич,27,М,Аспирантура,Факультет урбанистики,3,"Русский, Английский",Православие,"Музыка, Футбол, Рисование"
636,Шестакова Диана Александровна,27,Ж,Специалитет,Факультет математики,5,Русский,Ислам,"Настольные игры, Футбол"
637,Калашников Роман Филиппович,18,М,Магистратура,Факультет экономических наук,2,Английский,Православие,Волейбол
638,Белякова Роза Сергеевна,20,Ж,Магистратура,Факультет экономических наук,2,"Русский, Английский",Атеизм,"Музыка, Шахматы, Настольный теннис"
639,Сидорова Таисия Кондратьевна,28,Ж,Аспирантура,Факультет социальных наук,3,"Русский, Английский",Православие,"Рисование, Настольные игры"
640,Беликова Ольга Алексеевна,19,Ж,Специалитет,Факультет урбанистики,2,Русский,Атеизм,Программирование
641,Капустина Зинаида Анатольевна,29,Ж,Специалитет,Факультет бизнеса и менеджмента,4,Русский,Атеизм,"Футбол, Баскетбол"
642,Орлова Екатерина Станиславовна,18,Ж,Аспирантура,Факультет бизнеса и менеджмента,2,Русский,Православие,"Настольный теннис, Настольные игры"
643,Горшкова Людмила Евграфовна,28,Ж,Аспирантура,Факультет компьютерных наук,2,Русский,Атеизм,"Баскетбол, Рисование"
644,Сергеева Регина Вячеславовна,21,Ж,Аспирантура,Факультет математики,2,Английский,Православие,"Волейбол, Шахматы, Музыка"
645,Сазонов Клим Филиппович,22,М,Бакалавриат,Факультет социальных наук,2,"Русский, Английский",Православие,Программирование
646,Александров Аким Викторович,19,М,Магистратура,Факультет права,1,Русский,Атеизм,"Футбол, Рисование, Программирование"
647,Воронов Роман Тарасович,23,М,Специалитет,Факультет урбанистики,4,"Русский, Английский",Атеизм,Настольный теннис
648,Соколова Ольга Федоровна,21,Ж,Специалитет,"Факультет коммуникаций, медиа и дизайна",1,Русский,Православие,Рисование
649,Макарова Лея Тихоновна,30,Ж,Аспирантура,Факультет математики,2,"Русский, Английский",Буддизм,Настольные игры
650,Кузнецов Олег Родионович,20,М,Магистратура,Факультет мировой экономики и мировой политики,2,"Русский, Английский",Буддизм,Волейбол
651,Головин Ратмир Федосеевич,24,М,Аспирантура,Факультет гуманитарных наук,1,Русский,Православие,"Волейбол, Программирование"
652,Богданова Галина Леонидовна,21,Ж,Специалитет,Факультет социальных наук,1,Русский,Православие,"Музыка, Футбол, Баскетбол"
653,Ушаков Агей Ярославович,25,М,Бакалавриат,Факультет мировой экономики и мировой политики,2,Английский,Православие,"Волейбол, Рисование"
654,Ковалева Алёна Евсеевна,20,Ж,Аспирантура,Факультет мировой экономики и мировой политики,2,"Китайский, Английский",Православие,"Настольный теннис, Рисование, Настольные игры"
655,Киселёв Денис Семёнович,21,М,Магистратура,Факультет права,2,"Русский, Английский",Православие,"Футбол, Настольные игры, Волейбол"
656,Панкратов Аким Прохорович,19,М,Бакалавриат,Факультет урбанистики,4,Русский,Атеизм,Рисование
657,Горшков Антон Александрович,18,М,Магистратура,Факультет экономических наук,1,Английский,Атеизм,"Волейбол, Футбол, Рисование"
658,Ковалёв Олег Родионович,23,М,Аспирантура,Факультет экономических наук,2,"Русский, Английский",Православие,Рисование
659,Быкова Ульяна Максимовна,21,Ж,Аспирантура,Факультет компьютерных наук,2,Русский,Ислам,"Программирование, Настольные игры, Рисование"
660,Ларионова Вера Саввична,19,Ж,Бакалавриат,Факультет бизнеса и менеджмента,3,Русский,Православие,"Музыка, Настольный теннис, Баскетбол"
661,Чернышева Агния Дмитриевна,22,Ж,Аспирантура,Факультет социальных наук,2,Русский,Православие,"Настольные игры, Программирование, Рисование"
662,Зуев Геннадий Федорович,24,М,Бакалавриат,Факультет гуманитарных наук,2,Английский,Православие,"Настольный теннис, Музыка"
663,Воронов Валерий Даниилович,25,М,Специалитет,Факультет урбанистики,4,"Русский, Английский",Православие,"Настольные игры, Музыка, Программирование"
664,Горшкова Рита Саввична,26,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,"Русский, Английский",Ислам,"Программирование, Шахматы, Рисование"
665,Гаврилова Алёна Анатольевна,18,Ж,Специалитет,Факультет права,4,Английский,Православие,"Рисование, Настольные игры, Программирование"
666,Николаев Эдуард Трофимович,22,М,Аспирантура,Факультет экономических наук,2,Русский,Буддизм,Футбол
667,Орлов Вениамин Филиппович,28,М,Аспирантура,Факультет социальных наук,1,Русский,Буддизм,"Рисование, Баскетбол"
668,Фёдорова Изабелла Трофимовна,30,Ж,Магистратура,Факультет урбанистики,1,Русский,Атеизм,Футбол
669,Смирнов Агей Аркадьевич,28,М,Аспирантура,Факультет гуманитарных наук,1,Русский,Православие,"Настольные игры, Футбол, Музыка"
670,Капустин Август Ратмирович,26,М,Аспирантура,Факультет урбанистики,3,Английский,Православие,"Футбол, Волейбол"
671,Мартынова Лия Артемовна,21,Ж,Бакалавриат,Факультет права,3,"Русский, Английский",Ислам,"Волейбол, Шахматы, Программирование"
672,Дмитриева Стефания Филипповна,21,Ж,Специалитет,Факультет экономических наук,5,"Русский, Английский",Атеизм,"Программирование, Шахматы"
673,Фёдорова Таисия Юлиановна,18,Ж,Специалитет,Факультет мировой экономики и мировой политики,5,"Русский, Английский",Атеизм,Программирование
674,Капустин Николай Константинович,29,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",4,Русский,Православие,Рисование
675,Шубин Еремей Игнатьевич,26,М,Аспирантура,Факультет экономических наук,1,Английский,Атеизм,"Программирование, Рисование"
676,Виноградов Григорий Кириллович,19,М,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3,Английский,Атеизм,"Шахматы, Музыка"
677,Виноградова Василиса Вениаминовна,27,Ж,Аспирантура,Факультет бизнеса и менеджмента,1,Русский,Православие,"Баскетбол, Волейбол"
678,Петухов Владимир Леонидович,26,М,Специалитет,Факультет урбанистики,1,Русский,Буддизм,"Волейбол, Футбол"
679,Архипова Олеся Станиславовна,24,Ж,Аспирантура,Факультет компьютерных наук,2,Русский,Православие,"Музыка, Футбол, Рисование"
680,Сазонов Давид Тарасович,29,М,Аспирантура,Факультет социальных наук,1,"Русский, Английский",Буддизм,"Программирование, Музыка, Настольные игры"
681,Смирнова Маргарита Кирилловна,27,Ж,Аспирантура,Факультет урбанистики,3,"Русский, Английский",Атеизм,"Шахматы, Настольный теннис"
682,Захарова Алиса Валерьевна,18,Ж,Специалитет,Факультет мировой экономики и мировой политики,2,Английский,Православие,"Программирование, Музыка, Настольный теннис"
683,Капустина Эльза Кондратьевна,20,Ж,Специалитет,Факультет социальных наук,4,Английский,Православие,Баскетбол
684,Воронов Сергей Николаевич,28,М,Бакалавриат,Факультет права,4,"Китайский, Английский",Православие,Музыка
685,Романов Ерофей Михайлович,27,М,Аспирантура,Факультет мировой экономики и мировой политики,2,"Русский, Английский",Атеизм,"Футбол, Баскетбол, Настольные игры"
686,Сафонов Аким Ярославович,26,М,Бакалавриат,Факультет экономических наук,4,Русский,Буддизм,"Музыка, Рисование, Программирование"
687,Чернышев Олег Виталиевич,24,М,Бакалавриат,Факультет бизнеса и менеджмента,2,"Русский, Английский",Атеизм,"Шахматы, Баскетбол"
688,Панкратов Аркадий Александрович,24,М,Специалитет,Факультет компьютерных наук,3,Английский,Православие,Рисование
689,Панкратова Майя Ивановна,21,Ж,Магистратура,Факультет компьютерных наук,1,Русский,Атеизм,Музыка
690,Соловьева Инна Тихоновна,25,Ж,Аспирантура,Факультет компьютерных наук,1,Русский,Атеизм,"Рисование, Волейбол, Настольные игры"
691,Овчинникова Наталья Леонидовна,23,Ж,Магистратура,Факультет социальных наук,1,"Русский, Английский",Атеизм,Шахматы
692,Миронова Ника Юлиановна,24,Ж,Специалитет,Факультет урбанистики,3,"Русский, Английский",Православие,Музыка
693,Петухов Платон Олегович,28,М,Бакалавриат,Факультет математики,2,"Китайский, Английский",Православие,"Музыка, Настольные игры, Шахматы"
694,Киселева Юлия Олеговна,28,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",3,Английский,Ислам,"Настольный теннис, Футбол, Баскетбол"
695,Ефремова Снежана Юлиановна,27,Ж,Бакалавриат,Факультет урбанистики,1,Русский,Православие,"Настольные игры, Музыка, Баскетбол"
696,Макарова Милана Викторовна,30,Ж,Аспирантура,Факультет экономических наук,2,Русский,Ислам,"Шахматы, Волейбол"
697,Соколова Майя Федотовна,28,Ж,Бакалавриат,"Факультет коммуникаций, медиа и дизайна",4,Английский,Атеизм,"Настольный теннис, Футбол"
698,Петров Савелий Саввич,18,М,Бакалавриат,Факультет мировой экономики и мировой политики,2,Русский,Буддизм,"Музыка, Волейбол"
699,Назаров Ерофей Борисович,29,М,Специалитет,Факультет урбанистики,5,"Русский, Английский",Атеизм,"Шахматы, Волейбол, Программирование"
700,Сергеева Марианна Петровна,29,Ж,Магистратура,Факультет социальных наук,1,"Русский, Английский",Ислам,Настольные игры
701,Дроздов Даниил Евгеньевич,30,М,Специалитет,Факультет бизнеса и менеджмента,2,Английский,Ислам,Шахматы
702,Николаева Татьяна Романовна,18,Ж,Магистратура,Факультет бизнеса и менеджмента,1,"Русский, Английский",Ислам,"Баскетбол, Музыка"
703,Кондратьев Давид Юлианович,24,М,Аспирантура,Факультет права,3,Русский,Ислам,Программирование
704,Шарова Надежда Вениаминовна,18,Ж,Специалитет,Факультет компьютерных наук,3,Английский,Ислам,"Музыка, Рисование, Футбол"
705,Белякова Дарина Алексеевна,21,Ж,Бакалавриат,Факультет компьютерных наук,1,Русский,Буддизм,Шахматы
706,Карпова Ия Юлиановна,24,Ж,Специалитет,Факультет мировой экономики и мировой политики,4,Русский,Православие,"Рисование, Музыка, Настольные игры"
707,Лазарева Диана Федосеевна,28,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,Английский,Православие,"Шахматы, Футбол"
708,Александров Тимофей Александрович,24,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",1,Английский,Православие,"Шахматы, Программирование, Футбол"
709,Сидорова Виктория Дмитриевна,18,Ж,Аспирантура,Факультет социальных наук,1,Русский,Ислам,Шахматы
710,Шубина Марианна Михайловна,25,Ж,Бакалавриат,Факультет компьютерных наук,1,"Китайский, Английский",Православие,"Футбол, Баскетбол, Программирование"
711,Петухов Константин Матвеевич,28,М,Специалитет,Факультет математики,5,"Русский, Английский",Атеизм,Программирование
712,Макаров Прохор Федотович,23,М,Магистратура,Факультет права,2,Русский,Православие,Футбол
713,Соколова Надежда Дмитриевна,29,Ж,Магистратура,Факультет математики,1,"Русский, Английский",Буддизм,"Баскетбол, Шахматы"
714,Николаев Захар Ярославович,27,М,Магистратура,Факультет математики,1,Английский,Православие,Программирование
715,Петухов Валерий Александрович,28,М,Аспирантура,Факультет урбанистики,1,Английский,Ислам,"Настольные игры, Настольный теннис"
716,Мартынова Елена Константиновна,22,Ж,Магистратура,"Факультет коммуникаций, медиа и дизайна",2,Русский,Атеизм,"Настольные игры, Шахматы"
717,Миронов Илья Арсеньевич,24,М,Магистратура,Факультет права,1,Английский,Атеизм,Программирование
718,Герасимов Игнат Эдуардович,19,М,Специалитет,Факультет математики,2,Английский,Атеизм,"Волейбол, Футбол"
719,Федотов Станислав Геннадьевич,28,М,Аспирантура,Факультет урбанистики,1,"Китайский, Английский",Православие,"Шахматы, Рисование, Музыка"
720,Сергеева Татьяна Александровна,24,Ж,Аспирантура,"Факультет коммуникаций, медиа и дизайна",3,"Русский, Английский",Ислам,"Шахматы, Настольный теннис"
721,Шубин Федот Эдуардович,28,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",2,Английский,Православие,"Шахматы, Настольный теннис, Рисование"
722,Егорова Алёна Тарасовна,24,Ж,Бакалавриат,Факультет экономических наук,1,Русский,Буддизм,"Баскетбол, Настольный теннис"
723,Шестаков Федот Варламович,25,М,Магистратура,"Факультет коммуникаций, медиа и дизайна",2,Русский,Православие,"Настольный теннис, Шахматы"
724,Архипова Варвара Вячеславовна,29,Ж,Специалитет,Факультет мировой экономики и мировой политики,1,"Русский, Английский",Буддизм,"Настольные игры, Программирование"
725,Шубина Ярослава Денисовна,26,Ж,Бакалавриат,Факультет гуманитарных наук,3,"Китайский, Английский",Буддизм,Программирование
726,Новикова Ангелина Евграфовна,25,Ж,Аспирантура,Факультет социальных наук,1,Русский,Православие,Музыка
727,Захаров Тимур Петрович,22,М,Бакалавриат,Факультет компьютерных наук,3,"Русский, Английский",Православие,Музыка
728,Прохоров Станислав Игнатьевич,20,М,Аспирантура,Факультет бизнеса и менеджмента,3,Русский,Православие,"Музыка, Настольные игры, Волейбол"
729,Фролова Екатерина Вячеславовна,25,Ж,Специалитет,Факультет социальных наук,3,Английский,Атеизм,Музыка
730,Захаров Павел Варламович,30,М,Бакалавриат,Факультет гуманитарных наук,2,Английский,Православие,Волейбол
731,Морозов Ратмир Адамович,28,М,Специалитет,Факультет социальных наук,4,"Русский, Английский",Ислам,"Музыка, Футбол"
732,Князев Альберт Олегович,26,М,Бакалавриат,Факультет социальных наук,3,Русский,Атеизм,"Настольные игры, Программирование"
733,Панкратов Даниил Ратмирович,22,М,Магистратура,Факультет компьютерных наук,1,Русский,Православие,"Шахматы, Баскетбол"
734,Сидорова Зинаида Олеговна,25,Ж,Аспирантура,Факультет бизнеса и менеджмента,1,Английский,Атеизм,"Рисование, Волейбол, Баскетбол"
735,Киселёв Тимур Иванович,30,М,Специалитет,Факультет бизнеса и менеджмента,2,Английский,Атеизм,"Программирование, Футбол"
736,Виноградова Анфиса Валентиновна,18,Ж,Аспирантура,Факультет бизнеса и менеджмента,3,"Русский, Английский",Православие,Рисование
737,Тимофеева Лея Леонидовна,30,Ж,Специалитет,Факультет мировой экономики и мировой политики,4,"Русский, Английский",Ислам,"Баскетбол, Настольный теннис, Шахматы"
738,Герасимов Максим Платонович,20,М,Аспирантура,Факультет социальных наук,3,Русский,Буддизм,"Баскетбол, Волейбол, Программирование"
739,Беляева Гертруда Юлиановна,27,Ж,Магистратура,Факультет урбанистики,1,Английский,Атеизм,"Волейбол, Программирование"
740,Смирнов Захар Дмитриевич,20,М,Специалитет,Факультет социальных наук,3,Английский,Ислам,"Рисование, Баскетбол, Волейбол"
741,Захаров Савва Леонидович,30,М,Аспирантура,Факультет гуманитарных наук,2,"Китайский, Английский",Православие,"Рисование, Настольный теннис, Баскетбол"
742,Овчинникова Анжелика Ярославовна,23,Ж,Магистратура,Факультет гуманитарных наук,2,Русский,Ислам,"Настольные игры, Музыка"
743,Виноградов Антон Адамович,24,М,Специалитет,Факультет математики,1,Английский,Ислам,"Настольный теннис, Баскетбол"
744,Быков Ефим Игнатьевич,21,М,Бакалавриат,Факультет мировой экономики и мировой политики,1,"Русский, Английский",Буддизм,"Футбол, Музыка"
745,Кузнецов Феликс Тимофеевич,21,М,Специалитет,"Факультет коммуникаций, медиа и дизайна",2,"Русский, Английский",Ислам,"Шахматы, Футбол, Настольный теннис"
746,Гаврилов Василий Артемович,26,М,Специалитет,Факультет бизнеса и менеджмента,4,Русский,Буддизм,"Рисование, Программирование, Настольные игры"
747,Борисов Филипп Денисович,22,М,Специалитет,Факультет социальных наук,5,Русский,Атеизм,Настольные игры
748,Борисов Макар Антонович,26,М,Бакалавриат,Факультет мировой экономики и мировой политики,3,Русский,Православие,"Настольные игры, Футбол"
749,Мартынов Руслан Федосеевич,23,М,Бакалавриат,Факультет математики,4,Русский,Ислам,"Баскетбол, Программирование"
750,Борисов Евгений Александрович,23,М,Бакалавриат,Факультет компьютерных наук,4,"Русский, Английский",Ислам,"Рисование, Баскетбол"
751,Герасимов Николай Филиппович,29,М,Бакалавриат,Факультет урбанистики,1,Русский,Православие,"Настольный теннис, Программирование, Волейбол"
752,Осипова Марта Игнатьевна,23,Ж,Специалитет,Факультет социальных наук,5,"Китайский, Английский",Ислам,Футбол
753,Семенова Пелагея Глебовна,25,Ж,Магистратура,Факультет гуманитарных наук,2,Английский,Ислам,Волейбол
754,Гаврилов Варлам Максимович,28,М,Аспирантура,Факультет социальных наук,1,Английский,Православие,"Настольные игры, Футбол, Настольный теннис"
755,Чернов Август Анатольевич,30,М,Аспирантура,Факультет социальных наук,1,Русский,Буддизм,"Программирование, Шахматы"
756,Трофимова Майя Савельевна,25,Ж,Бакалавриат,Факультет урбанистики,3,"Русский, Английский",Ислам,Программирование
757,Петухова Лея Евсеевна,19,Ж,Бакалавриат,Факультет социальных наук,3,Русский,Православие,Футбол
758,Князев Семен Ратмирович,20,М,Магистратура,Факультет бизнеса и менеджмента,1,"Русский, Английский",Православие,"Шахматы, Рисование"
759,Герасимов Георгий Федотович,24,М,Аспирантура,Факультет мировой экономики и мировой политики,3,Русский,Атеизм,"Баскетбол, Настольные игры, Настольный теннис"
760,Архипова Лия Матвеевна,30,Ж,Аспирантура,Факультет математики,2,"Русский, Английский",Буддизм,Программирование
761,Чернова Полина Игнатьевна,28,Ж,Бакалавриат,Факультет права,3,Русский,Атеизм,"Шахматы, Музыка, Настольные игры"
762,Виноградова Аврора Артемовна,18,Ж,Магистратура,Факультет компьютерных наук,1,Английский,Православие,"Настольный теннис, Музыка"
